Bin Id	0	500	1000	1500	2000	2500	3000	3500	4000	4500	5000	5500	6000	6500	7000	7500	8000	8500	9000	9500	10000
PT63_3	8.615925	8.467838	8.345315	8.25327	8.210886	8.196096	8.177013	8.170699	8.15624	8.1316	8.122352	8.116987	8.116987	8.098547	8.098547	8.091244	8.08345	8.08345	8.08345	8.074122	8.064524
PT63_55	8.516451	8.338183	8.225287	8.159492	8.116841	8.081334	8.045475	8.009255	7.964729	7.893146	7.840421	7.776488	7.748292	7.709823	7.642416	7.561702	7.523293	7.448505	7.378455	7.34164	7.283582
PT8_25	4.236182	3.713576	3.419416	3.075426	2.761842	2.431393	2.15802	1.87842	1.645792	1.469966	1.232093	1.038328	5.917554	4.787279	3.6521	0.572627	0.4799	0.397029	0.344736	0.307984	0.258952
PT34_27	3.836461	3.809537	3.799102	3.786006	3.766258	3.734649	5.717977	3.701465	3.675076	3.644633	3.611964	3.554691	3.514679	3.48974	3.422951	3.365761	3.303141	3.237689	3.211026	3.127707	3.088766
