sample	16S	AamoA	hao	nxrA	napA	narG	nirS	norB	nosZ
CK1	3.916249312	0.06001652	0.251811437	0.018508535	0.001375243	0.105338666	0.619975075	0.096042373	0.012552652
CK2	1.27385124	0.055403926	0.149762397	0.041544716	0.004801653	0.046478306	0.536395661	0.065099174	0.006006198
CK3	2.595050276	0.048669943	0.200786917	0.064580896	0.007829199	0.025627974	0.043258054	0.011207973	0.007637101
CKN1	2.334775897	0.076838386	6.644162172	0.008461375	0.00385345	0.017228731	0.347480007	0.085417519	0.016652408
CKN2	6.332269965	0.07855265	4.174188316	0.004514488	0.001301767	0.020416961	0.104284099	0.096732155	0.017636749
CKN3	3.307054906	0.0492729	1.70421446	0.012408263	0.012569992	0.0140405	0.455031259	0.07422941	0.017144579
PCN1	1.586612355	0.046487392	0.459143272	0.019084855	0.006684656	0.069042523	0.212128036	0.043072485	0.016340374
PCN2	1.138868166	0.042760411	0.784617526	0.02696874	0.006574992	0.044123706	0.111220215	0.074027809	0.019855807
PCN3	2.034356545	0.081069855	0.133669017	0.01120097	0.005624725	0.056583115	0.122361172	0.071503967	0.017378801
