Genus	uncultured Balneolaceae	Crossiella	Brevibacillus	Saccharopolyspora	Gillisia	Lysobacter	uncultured Saccharimonadales	Halomonas	uncultured Longimicrobiaceae	unclassified wb1-P19	uncultured Acidimicrobiia	Rubrobacter	Truepera	unclassified Micrococcaceae	Prauserella	uncultured MWH-CFBk5	Bacillus	Nitrosospira	uncultured Rhodothermaceae	uncultured AKYG1722	Nocardioides	uncultured 67-14	Nitrospira	uncultured Gemmatimonadaceae	Cutibacterium	uncultured Microscillaceae	Staphylococcus	RB41	unclassified Bacillales	Pseudonocardia	uncultured Nitriliruptoraceae	Steroidobacter	Salinisphaera	unclassified Subgroup 6	Pir4 lineage	Brachybacterium	unclassified Gammaproteobacteria	unclassified Saccharimonadales	Rickettsiella	unclassified Gitt-GS-136	Streptomyces	Laceyella	Actinomadura	Paenibacillus	unclassified Longimicrobiaceae	Scopulibacillus	uncultured Ardenticatenaceae	uncultured JG30-KF-CM45	uncultured Gaiellales	Solirubrobacter	Conexibacter	Marinimicrobium	Salinibacter	unclassified Microbacteriaceae	Vibrio	uncultured Microtrichales	Arhodomonas	uncultured Burkholderiaceae	Nitriliruptor	unclassified Methyloligellaceae	Marinobacter	uncultured Planctomyces sp.	Corynebacterium	Gracilimonas	Rhodococcus	Isoptericola	Thermoactinomyces	Anaerococcus	uncultured Solirubrobacteraceae	Acinetobacter	Parafrigoribacterium	Alcaligenes
Ks-top	21.587599806152394	4.922498826031023	3.5415688077345937	43.88914983038334	0.028182245079628233	0.11272898031851293	100.0	1.6251761423198736	0.0	1.7191169592519677	0.9581963327073599	0.0	0.6575857185246589	0.20666979725060705	66.20948800860606	0.13151714370493178	7.1019257882502504	0.0	3.193987785085846	2.9403475793691918	11.000469700326803	0.03757632677283765	0.0	0.06575857185246589	51.46077970329406	0.0	45.1479567772734	0.0	4.4527947413705515	1.2024424567308047	1.3057773647507536	0.0	1.3903240999896382	0.056364490159256465	1.1742602116511764	0.1690934704777694	4.349459842745248	16.61813057165532	24.21794268964567	0.0	0.15969938878456	0.0	13.320807887944172	16.242367303926944	0.0	3.4758102358821277	1.183654293344386	0.0	0.0	0.0	0.0	0.0	0.06575857185246589	15.002348520423304	0.0	0.0751526535456753	0.9675904144005694	0.0	0.0	0.0	0.0	9.788633161902787	13.085955845613936	0.0	0.10333489862530353	0.10333489862530353	0.0	11.855331143803504	0.0	9.863785815448464	10.305307655029306	10.164396429631166
Ks-middle	30.511356738134303	5.162152317818547	1.1174541426429396	2.1741770910167273	0.4008259389957418	22.45839912565183	3.69245718449277	1.846228592246385	45.63342645495086	0.583019557315284	71.38345681426237	100.0	76.24195311338569	5.405077130407242	6.231021500311221	0.10931616625678064	24.158872825610057	59.49228713683632	6.231021500311221	2.757196648332011	11.210980199810225	61.253492042901044	60.52471760513498	5.186444797893681	0.12146241221302821	5.514393296664022	0.583019557315284	22.88351755656007	5.502247050707775	3.8746507909749512	0.7652131637974646	9.777723792515829	5.320053444225595	15.413579501392881	4.761326366985443	0.2793635386200754	1.3239402410376153	9.850601244578591	1.166039114630568	2.732904168256878	1.8583748382026328	0.0	2.5264180698622027	0.5951657914341698	8.332321151102548	10.312158389680848	2.963682734889325	0.8016518898288453	19.47042389885001	17.867120131029683	3.7410421446430373	0.0	12.644236607104622	0.0	0.6923357235720646	1.4575488873695293	0.7773594097537121	0.5344345971650175	0.0	0.10931616625678064	0.0	0.6801894776158172	0.08502368618164736	0.024292480075133273	2.9393902548141915	0.6437507634217982	0.0	0.0	13.761690761584921	0.813798123947731	0.0	0.048584960150266546
Ks-bottom	61.995637962544194	4.04095480642614	0.0	100.0	0.8239428101680021	13.782866841300612	3.5381073580298863	1.6660608284408935	2.635405309023622	0.3029201480912494	1.3752574820358316	0.1272264623098369	9.796437659189138	8.548406639463144	8.869502001234892	3.229128803519934	7.5972373725609135	6.973221862697917	9.36023264236935	0.8300012110110956	18.714406889471217	0.3513873771384337	2.0598570226322006	0.6664243324914794	0.0	8.887677209339783	0.8905852417444672	0.0	19.538349694063612	3.12613595015808	1.369199081192738	0.9814612878445248	3.0292015032149293	1.1571549736259372	0.4483218240815849	1.1571549736259372	1.744820067279155	0.14540167041472662	0.7694171802777239	0.278686539143266	12.128922820121513	0.0	3.968253968430972	0.5089058548149566	0.07270083799516776	6.1674542606348055	0.02423361452359221	0.03029201536668582	0.7330667640679445	0.0	0.04846722347157555	0.0	5.119350541213816	0.042408822628481925	10.7112565154572	0.8602932263777815	0.8481764191159853	0.0	0.0	0.0	0.02423361452359221	0.4786138394482707	0.07875923883826137	0.0	6.009935782958284	7.039864294274382	0.0	0.0	0.07270083799516776	0.22416090925298798	0.0	0.0
Ts-top	1.6445770617046915	100.0	84.24120466438747	0.0	1.2559850116216258	10.94302963473881	1.9568385283458956	0.7147318007463637	4.142668794834322	47.678856438407166	3.9275553407138855	0.3053223215843932	1.0269932673875672	3.4973284324730103	0.0	9.277635143955214	11.276108530458917	1.505794184934589	1.4710984657420632	5.454166954727378	4.267573381490805	2.553604887492588	4.316147390796951	22.50364305161169	0.0	9.638470613811036	0.0	15.155089861866655	0.25674831836977363	4.1287905108122285	0.062452293328240774	9.687044623117185	0.04163486424933628	7.84817153637096	6.862813127141202	0.20817430906362677	1.831933941689414	0.1665394509058178	0.0	2.685448613114353	0.37471375996944456	0.7771840940746042	0.3885920500830658	2.4772743040507264	1.2212892924291003	0.0	0.8118798132671299	1.1172021348515233	1.0686281316369035	2.3940045816435807	0.4926792015691155	0.0	0.0	0.35389633089054007	0.0	0.7980015292450361	0.1665394509058178	6.182777045587364	0.12490458665648155	6.182777045587364	0.0	0.027756574135715088	0.0	0.9367843999236115	0.0	0.0	1.0478107025579992	0.0	0.34695718583372953	0.0	0.0	0.0
Ts-middle1	27.637052596653287	25.11635569854264	100.0	0.0	13.163639357227197	6.4541373192699485	1.3097738783546669	2.022323819021937	14.975905100765877	10.663536389593036	7.092549117910318	0.08237571421749351	2.5083405398247582	0.9761522315451678	0.0	10.350508669415797	0.510729437374606	2.228263108409898	5.968120598467126	11.619094690661717	0.5683924388645424	1.0750030901438508	2.269450965518645	4.987849580826661	0.0	2.615428970614036	0.0	3.0602578343081106	0.0	2.697804688675757	3.0149511911040667	2.1911940373964485	0.6136990820685866	1.4250998813345395	2.4630338966207135	0.15651386008861973	4.304131142826472	1.40862473695335	0.0	1.5074755955520334	0.28831500360545487	0.05354421539463905	0.0	0.4283537231571124	4.201161498132493	0.0	6.445899747079354	0.6219366542591814	0.4283537231571124	0.11532600297987296	4.777791505343402	0.27595864916379015	0.0	0.0	0.0	0.27183986306849267	0.6095802959732892	1.8452160284568297	0.4324725054081823	1.4662877384432864	0.0	0.16063264618391715	0.0	0.20182050329266393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ts-middle2	28.641549487824232	100.0	0.0	0.0	86.4818254175046	24.330061022060264	1.4460069026610594	73.75961793587112	9.286282832341431	0.26532236695397304	9.97612098642176	2.878747673164888	6.0626160766125645	40.67391881537738	0.7561687485807295	14.81825417504605	0.45104801829794144	3.4757230015732348	8.344388432416732	12.788538076133873	8.291323959025938	6.6993897573021	0.3316529614543726	0.7296365063615194	0.0	5.372777922532235	2.6532236695397304	0.0	0.0	19.342000534373195	16.503051202441874	6.513664105958131	15.627487397017573	3.011408862165687	8.26479171680673	31.215176441753954	4.298222344654363	1.1143539412066867	0.0	13.79676307055897	0.4377819082359618	0.0	1.5654019595046282	0.0	2.6664897796017097	0.0	0.5306447339079461	12.390554520179101	0.6102414384703253	1.485805254942249	1.8970549209590009	10.466967368048516	0.0	3.1440700401188613	0.0	13.159989389869436	4.749270362952305	0.0	11.156805522128845	0.6367736806895352	15.163173257610026	0.8490315742527137	0.0	0.29185459812555764	0.0	0.0	0.0	0.0	0.0	0.0	0.3847174348451672	0.0
Ts-bottom	100.0	38.204378806768744	0.9793365096793615	0.0	35.030508117756085	14.356765624150572	1.1690509171409886	21.683843506683946	10.039481103300929	0.26149822976465964	3.74301389588362	7.086089319977658	1.8202327825051066	14.126031887442366	0.0	9.024252677298742	8.742244780325143	1.8304876186952317	13.40306619460391	9.275496076044586	0.5896528740799033	2.0971132665549534	0.45121263205497986	0.7229656980097643	0.0	3.419986669663439	0.06665640937927703	0.03076449822776078	0.0	1.3074911539946052	8.3884530558772	2.471414653040531	7.496282622786057	1.435676559829404	2.5842178097614497	0.7947495254841038	2.7893144663369567	0.43070297001734387	0.020509667208942844	1.5330974726077484	0.6870737816869411	12.705737576726845	0.06152899645552156	0.4358303829410994	0.8562785219396254	0.0	0.2256063186131434	3.630210733991395	0.09229349468328234	0.0	1.2357073265202656	5.219709784959603	0.0	0.22047890051808094	0.0	1.5074603924750503	5.188945291903149	0.15894990406255938	2.06122135023213	0.34866430635287954	0.4614674682451047	0.717838279914702	0.0	5.96318515017831	0.06665640937927703	0.0	5.660667585995764	0.0	0.0	0.0	0.0	0.0
