ID	Log2FoldChange	PValue
ENSG00000134318	-0.81	2.55E-11
ENSG00000003402	-1.18	2.56E-11
ENSG00000102804	-1.2	2.7E-11
ENSG00000164291	-0.86	2.86E-11
ENSG00000131446	-0.87	3.09E-11
ENSG00000074590	-1.37	3.54E-11
ENSG00000091527	-0.77	3.8E-11
ENSG00000277443	1.18	3.84E-11
ENSG00000128342	2.5	3.84E-11
ENSG00000177614	2.47	3.86E-11
ENSG00000049323	-0.7	4.96E-11
ENSG00000163378	-1.26	5.9E-11
ENSG00000177674	-1.11	6.11E-11
ENSG00000108960	-1.64	6.47E-11
ENSG00000116132	0.77	6.64E-11
ENSG00000114745	-0.55	6.86E-11
ENSG00000067082	-1.11	7.72E-11
ENSG00000173517	-1	7.92E-11
ENSG00000197301	-2.31	7.96E-11
ENSG00000205208	1.39	1.11E-10
ENSG00000146373	-1.09	1.14E-10
ENSG00000185022	-1.29	1.29E-10
ENSG00000100626	1.04	1.33E-10
ENSG00000134294	-1.23	1.4E-10
ENSG00000196569	-2.07	1.43E-10
ENSG00000189184	0.9	1.47E-10
ENSG00000173221	-0.98	2.32E-10
ENSG00000114450	-0.98	2.39E-10
ENSG00000124151	-1.4	2.39E-10
ENSG00000196932	2.08	2.44E-10
ENSG00000164294	0.54	2.48E-10
ENSG00000012048	1.2	2.52E-10
ENSG00000122966	1.57	2.54E-10
ENSG00000100242	-1.91	2.54E-10
ENSG00000143344	1.07	2.59E-10
ENSG00000019995	-0.91	2.78E-10
ENSG00000112576	-0.93	2.9E-10
ENSG00000136478	-1.49	2.95E-10
ENSG00000182197	0.85	2.98E-10
ENSG00000126861	1.71	2.98E-10
ENSG00000164933	-0.86	3.18E-10
ENSG00000125848	2.36	3.23E-10
ENSG00000107562	1.92	3.73E-10
ENSG00000108604	-1.27	3.8E-10
ENSG00000066322	-0.53	4.25E-10
ENSG00000172465	-1.05	4.25E-10
ENSG00000165802	-0.95	4.55E-10
ENSG00000071282	-1.62	4.58E-10
ENSG00000171469	0.66	5E-10
ENSG00000148120	-1.1	5.02E-10
ENSG00000145244	-1.97	5.07E-10
ENSG00000140545	-1.12	5.43E-10
ENSG00000114853	-0.7	5.98E-10
ENSG00000126016	2.31	6.19E-10
ENSG00000163661	-2.24	6.83E-10
ENSG00000078053	-1.15	7.36E-10
ENSG00000138074	-1.22	7.47E-10
ENSG00000205978	1.16	7.47E-10
ENSG00000137801	-1.97	7.47E-10
ENSG00000105835	-1.05	7.66E-10
ENSG00000143786	1.52	8.31E-10
ENSG00000143878	-1.19	8.68E-10
ENSG00000197860	-0.8	9.25E-10
ENSG00000162643	1.58	1.01E-09
ENSG00000197321	0.52	1.09E-09
ENSG00000168917	-0.8	1.11E-09
ENSG00000172831	0.56	1.12E-09
ENSG00000172403	-1.73	1.2E-09
ENSG00000233608	-0.71	1.23E-09
ENSG00000174437	-1.39	1.38E-09
ENSG00000168610	-0.62	1.38E-09
ENSG00000009413	-1.12	1.45E-09
ENSG00000088888	-0.62	1.56E-09
ENSG00000214814	3.14	1.6E-09
ENSG00000084090	-1.27	1.75E-09
ENSG00000140807	-2.41	1.82E-09
ENSG00000008311	-1.11	1.93E-09
ENSG00000182199	0.73	2.01E-09
ENSG00000106615	-0.96	2.04E-09
ENSG00000119714	2.88	2.04E-09
ENSG00000124702	-0.61	2.17E-09
ENSG00000171793	-1.54	2.28E-09
ENSG00000114270	-1.23	2.31E-09
ENSG00000128699	-1.03	2.43E-09
ENSG00000119508	-2.11	2.89E-09
ENSG00000114670	1.24	3.1E-09
ENSG00000148848	1.84	3.42E-09
ENSG00000168994	-1.39	3.44E-09
ENSG00000141298	-1.22	3.5E-09
ENSG00000169750	-1.45	3.75E-09
ENSG00000149792	0.54	4.06E-09
ENSG00000013297	1.71	4.21E-09
ENSG00000165272	2.99	4.27E-09
ENSG00000125503	-0.66	4.33E-09
ENSG00000136997	-0.85	4.47E-09
ENSG00000159840	-0.7	4.48E-09
ENSG00000165996	-0.95	4.68E-09
ENSG00000124496	0.83	5.1E-09
ENSG00000175130	1.14	5.22E-09
ENSG00000167641	-2.82	5.26E-09
ENSG00000083223	-1.12	5.36E-09
ENSG00000131242	2.15	5.5E-09
ENSG00000143494	3.78	5.5E-09
